z_minScore,z_maxScore,z_cluster,row_id,title_unfiltered,title_filtered,binder,wrapper,filler,size,country,length_fraction,length_float,ring_gauge,strength,rating,extract_vitola,extract_seed,extract_color,extract_region,extract_brand,extract_line,extract_size
"","",377,377,inch ringmaster no. 5,inch ringmaster no. 5,nicaraguan,nicaraguan,nicaraguan,grande,dominican republic,5 3/8,5.38,64,medium,87,"","","","","","",""
0.9999934171745454,0.9999934171745454,381,381,ashton symmetry prestige,ashton symmetry prestige,dominican republic,ecuadorian,"dominican republic, nicaraguan",churchill,dominican republic,6 3/4,6.75,49,medium,87,"","","","",ashton,symmetry,prestige
0.9999100721907613,0.9999981254576294,383,383,micallef herencia maduro toro,micallef herencia maduro,ecuadorian,nicaraguan,"honduran, nicaraguan",toro,nicaraguan,6,6,52,medium,92,"","",maduro,"",micallef,herencia,maduro toro
0.9996108872647176,0.9999981254576294,385,385,tatuaje reserva j21,tatuaje reserva j21,nicaraguan,ecuadorian,nicaraguan,robusto,united states,5,5,50,medium-full,88,"","","","",tatuaje,reserva,j21
0.9999981254576294,0.9999981254576294,346,388,vegafina 1998 vf 52,vegafina 1998 vf 52,indonesian,ecuadorian,"colombia, dominican republic, nicaraguan",robusto,dominican republic,5,5,52,medium-full,92,"","","","",vegafina,1998 vf,52
0.9999977312167253,0.9999977312167253,390,390,eastern standard cream crush,eastern standard cream crush,dominican republic,ecuadorian,dominican republic,churchill,dominican republic,7,7,48,medium,86,"","","","","","",""
0.9999981254576294,0.9999981254576294,393,393,la aurora 107 nicaragua robusto,la aurora 107 nicaragua,nicaraguan,nicaraguan,nicaraguan,robusto,dominican republic,5,5,50,medium-full,90,"","","","",la aurora,107 nicaragua,robusto
0.9999981254576294,0.9999981254576294,394,394,la sirena aniversario especial toro,la sirena aniversario especial,mexico,mexico,"brazilian, dominican republic, mexico, nicaraguan",toro,mexico,5 3/4,5.75,54,medium-full,91,"","","","","","",""
0.9999981254576294,0.9999981254576294,271,408,rocky patel quarter century robusto,rocky patel quarter century,honduran,mexico,"nicaraguan, n/a",toro,nicaraguan,5 1/2,5.5,50,medium,91,"","","","",rocky patel,quarter century,robusto
"","",412,412,maestro del tiempo 6102r,maestro del tiempo 6102r,nicaraguan,nicaraguan,nicaraguan,robusto,nicaraguan,5 1/4,5.25,48,medium-full,90,"","","","","","",""
0.9996108872647176,0.9999981254576294,157,417,tatuaje reserva sw,tatuaje reserva sw,nicaraguan,ecuadorian,nicaraguan,churchill,united states,7,7,47,medium,89,"","","","",tatuaje,reserva,sw
0.9999981254576294,0.9999981254576294,434,434,warzone robusto,warzone,honduran,cameroon,"colombia, nicaraguan",toro,nicaraguan,5 1/2,5.5,52,"",94,"","","","","","",""
0.9476027120860098,0.9807275099566922,435,435,ashton virgin sun grown sorcerer,ashton virgin sun grown sorcerer,dominican republic,ecuadorian,dominican republic,churchll,dominican republic,7,7,49,"",94,"",sun grown,"","",ashton,virgin sun grown,sorcerer
"","",440,440,e.p. carrillo encore taa 656,e.p. carrillo encore taa 656,nicaraguan,nicaraguan,nicaraguan,toro,dominican republic,5,5,56,medium-full,89,"","","","",e.p. carrillo,encore,taa 656
0.9999981254576294,0.9999981254576294,441,441,herrera esteli miami short corona gorda,herrera esteli miami short,ecuadorian,ecuadorian,"dominican republic, nicaraguan",toro,united states,5 3/4,5.75,48,"",92,"","","",esteli,herrera esteli,miami,short corona gorda
0.9999981254576294,0.9999981254576294,442,442,la flor dominicana 1994 mambo,la flor dominicana 1994 mambo,dominican republic,mexico,dominican republic,churchill,dominican republic,7,7,54,"",92,"","","","",la flor dominicana,1994,mambo
0.9999974119877545,0.9999974119877545,448,448,monte by montecristo aj fernandez belicoso,monte by montecristo aj fernandez belicoso,nicaraguan,ecuadorian,nicaraguan,figurado,nicaraguan,6 1/8,6.13,54,medium,88,belicoso,"","","","","",""
0.9999981254576294,0.9999981254576294,449,449,la aroma de cuba mi amor robusto,la aroma de cuba mi amor,nicaraguan,mexico,nicaraguan,robusto,nicaraguan,5,5,50,medium-full,92,"","","","",la aroma de cuba,mi amor,robusto
0.9999981254576294,0.9999981254576294,454,454,punch punch (tubo),punch punch (tubo),cuba,cuba,cuba,toro,cuba,5 5/8,5.63,46,medium-full,91,"","","","",punch,"",""
0.9807275099566922,0.9999981254576294,461,461,oliva serie v double toro,oliva  v,nicaraguan,nicaraguan,nicaraguan,grande,nicaraguan,6,6,60,medium-full,88,"","","","",oliva,serie v double,toro
0.9999981254576294,0.9999981254576294,469,469,diplomatico by mombacho cigars s.a. toro,diplomatico by mombacho cigars s.a.,nicaraguan,ecuadorian,nicaraguan,toro,nicaraguan,6,6,52,medium-full,88,"","","","","","",""
0.9999940602236813,0.9999981254576294,444,470,highclere castle victorian toro,highclere castle victorian,brazilian,ecuadorian,nicaraguan,toro,nicaraguan,6,6,52,medium,92,"","","","","","",""
