IGNORE FOR NOW Brand (from cigargeek_detail.csv),Brand,Brand,Brand cleaned,"some variations in name, 
denoted as same. 
add to transform rules?",Instructions,Title (Brand + Line) Best Cigar Prices,Title (Brand + Line) JR Cigars,Title (Brand + Line) Atlantic Cigar,Title (Brand + Line) Cigar International,Title (Brand + Line) Neptune,Title (Brand + Line) famous smoke
Camino Real (by Route 45),ALEC BRADLEY,Benavides,Benavides,,,Alec Bradley Connecticut,Alec Bradley Blind Faith,Alec Bradley 2nds,AJ Fernandez Last Call Maduro,Aging Room Core Connecticut,Alec Bradley
Habanos Puros,Alec Bradley,Bering,Bering,,,Alec Bradley Coyol,Alec Bradley Boncheros,Alec Bradley American Classic,AJ Fernandez New World,Aging Room Core Habano,Alec Bradley 1600
La Fabuloso,Alec Bradley,Best Sellers,,,,Alec Bradley Family Blend,Alec Bradley Cigars,Alec Bradley American Sun Grown,AJ Fernandez New World Cameroon,Aging Room Pelo de Oro,Alec Bradley 1633
JFC Tobacco,Alec Bradley,Big and Beefy,,,,Alec Bradley Kintsugi,Alec Bradley Classic Series,Alec Bradley Black Market,AJ Fernandez New World Connecticut,Aging Room Pura Cepa,Alec Bradley American Classic
Jamaica Heritage,Alec Bradley,BLACK & MILD,BLACK & MILD,,,Alec Bradley Magic Toast,Alec Bradley Connecticut,Alec Bradley Black Market Esteli,AJ Fernandez New World Puro Especial,Aging Room Quattro Connecticut,Alec Bradley American Sun Grown
Sultan Cigars,Alex Spencer Reserve,Black Abyss,Black Abyss,,,alec bradley maxx ,Alec Bradley Connecticut Fumas,Alec Bradley Connecticut,AJ Fernandez Rosa de Guadalupe,Aging Room Quattro Maduro (Formerly F55M),Alec Bradley Black Market
Arganese,All Saints,Black Label Trading,Black Label Trading,same,,alec bradley mundial ,Alec Bradley Coyol,Alec Bradley Coyol,AJ Fernandez San Lotano Oval,Aging Room Quattro Nicaragua,Alec Bradley Black Market Esteli
Cigar of the Gods,All Saints,BLACK LABEL TRADING CO,BLACK LABEL TRADING CO,same,,alec bradley nica puro ,Alec Bradley Family Blend The Lineage,Alec Bradley Fine & Rare,AJ Fernandez San Lotano Oval Connecticut,Aging Room Quattro Original (Formerly F55),Alec Bradley Connecticut
Crux,Ambrosia,Black Label Trading Co.,Black Label Trading Co.,same,,BACCARAT,Alec Bradley Magic Toast,Alec Bradley House Blend Series,AJ Fernandez San Lotano Oval Maduro,Aging Room Rare Collection,Alec Bradley Connecticut Fumas
J. Fuego,Amendola Family Cigar Company,Black Label Trading Company,Black Label Trading Company,same,,Baccarat Nicaragua,Alec Bradley MAXX,Alec Bradley Magic Toast,AJ Fernandez San Lotano Requiem,Aging Room Solera Maduro,Alec Bradley Coyol
Foundry,American Stogies,Black Star Line,Black Star Line,,,BACKWOODS,Alec Bradley Medalist,Alec Bradley MAXX Maduro,AJ Fernandez San Lotano Requiem Connecticut,Aging Room Solera Sun Grown,Alec Bradley Kintsugi
La Pluma,Anthology,BLACKBIRD,BLACKBIRD,same,,BCP APPAREL,Alec Bradley Nica Puro,Alec Bradley Medalist,AJ Fernandez San Lotano Requiem Maduro,AJ Fernandez,Alec Bradley Magic Toast
La Finca,Antonio y Cleopatra,Blackbird Cigar Co.,Blackbird Cigar Co.,same,,BCP BATTLE PACKS,Alec Bradley Prensado,Alec Bradley Mundial,Al Capone,AJ Fernandez Bellas Artes,Alec Bradley Medalist
Tabacalera Esteli,Archetype,Blackstone Tipped,Blackstone Tipped,,,BCP BRAND,Alec Bradley Prensado Fumas,Alec Bradley New York,Alec & Bradley Blind Faith,AJ Fernandez Bellas Artes Maduro,Alec Bradley New Baby
A. Turrent,Archetype,Blanco,Blanco,,,BCP FLAVORS,Alec Bradley Prensado Lost Art,Alec Bradley Occidental Reserve,Alec & Bradley Gatekeeper,AJ Fernandez Dias de Gloria,Alec Bradley Post Embargo
Davidoff,Arganese,Blender Series,Blender Series,,,BCP GEAR,Alec Bradley Project 40,Alec Bradley Prensado,Alec & Bradley Kintsugi,AJ Fernandez Last Call Habano,Alec Bradley Prensado
Georges Reserve,Artisans,Bold by Nish,Bold by Nish,,,BCP SMOKE ODOR ELIMINATOR CANDLES,Arturo Fuente Hemingway,Alec Bradley Prensado Lost Art,Alec Bradley Cigars,AJ Fernandez Last Call Maduro,Alec Bradley Prensado Fumas
Kristoff,Arturo Fuente,BOLIVAR,BOLIVAR,,,Bellas Artes by A.J. Fernandez,Arturo Fuente Sun Grown,Alec Bradley Project 40,Alec Bradley American Classic Blend,Enclave Broadleaf,Alec Bradley Prensado Lost Art
Joya de Nicaragua,Arturo Fuente,Boneshaker,Boneshaker,,,Bellas Artes by A.J. Fernandez,Ashton,Alec Bradley Project 40 Maduro,Alec Bradley American Sun Grown,Enclave Habano,Alec Bradley Project 40
Blanco (Formerly Los Blancos),Arturo Fuente,Boveda,,,,BIG PAPI BY DAVID ORTIZ,Ashton Aged Maduro,Alec Bradley Tempus Natural,Alec Bradley Black Market,New World,Alec Bradley Samplers and Accessories
Key West Cigar,Arturo Fuente,BRICK HOUSE,BRICK HOUSE,,,BLACK & MILD,Ashton Cabinet,Alec Bradley Tempus Nicaragua,Alec Bradley Black Market Esteli,New World Cameroon,Alec Bradley Sun Grown
Opus X,Arturo Fuente,Brioso,Brioso,,,Black Bird Jackdaw,Ashton Cigars,Alec Bradley Texas Lancero,Alec Bradley Black Market Vandal,New World Connecticut,Alec Bradley Supervisor Selection
Don Ursulo,Ashton,BUFFALO TRACE,BUFFALO TRACE,,,Black Bird Unkind,Ashton Estate Sungrown,Alec Bradley The Lineage,Alec Bradley Black Market Vandal The Con,New World Puro Especial,Alec Bradley Tempus
Powstanie,Ashton,Bugatti,Bugatti,,,BLACK LABEL TRADING CO,Ashton Heritage Puro Sol,Alec Bradley Trilogy,Alec Bradley Boy/Girl,Aladino,Alec Bradley Tempus Fumas
Mosaico,Ashton,BUTERA,BUTERA,,,BLACKBIRD,Ashton Symmetry,Ambrosia,Alec Bradley Caribbean Cask,Aladino Cameroon,Alec Bradley Tempus Nicaragua
