IGNORE FOR NOW Brand (from cigargeek_detail.csv),Brand,Brand,Brand cleaned,"some variations in name, 
denoted as same. 
add to transform rules?",Instructions,Title (Brand + Line) Best Cigar Prices,Title (Brand + Line) JR Cigars,Title (Brand + Line) Atlantic Cigar,Title (Brand + Line) Cigar International,Title (Brand + Line) Neptune,Title (Brand + Line) famous smoke
Paul Garmirian,BLACKBIRD,Crux,Crux,,,CAO Bones,Black Works Studio Rorschach,Asylum 13 Medulla Oblongata,Ashton VSG,Archetype,Asylum Premium
El Artista (Thompson),Blackbird,Cuba Libre,Cuba Libre,,,CAO Brazilia,Black Works Studio S & R,Asylum 13 Medulla Oblongata Maduro,Asylum,Archetype Axis Mundi,Asylum Straight Jacket
Casillas,Blackbird Cigar Co.,Cuban Aristocrat,Cuban Aristocrat,,,CAO Flathead,Black Works Studio Sindustry,Asylum Insidious Connecticut,Asylum Cigars,Archetype Dreamstate,Avanti
Excelsior,Blackstone Tipped,Cuban Cigar Factory,Cuban Cigar Factory,,,cao flavours ,Blackstone Tipped,Asylum Insidious Habano,Asylum 13,Archetype Strange Passage,Avanti
Fable Cigars,Blanco,Cuban Rounds,Cuban Rounds,,,CAO Gold Label,Blind Man's Bluff by Caldwell Cigar Co.,Asylum Insidious Maduro,Asylum 13 Authentic Corojo,Arturo Fuente,Ave Maria
Crowned Heads,Blender Series,Cuban Twist,Cuban Twist,,,CAO L'Anniversaire,Blind Man’s Bluff Nicaragua,Asylum Limited Series,Asylum 13 Connecticut,Arturo Fuente,Ave Maria
Licenciados (DR),Bold by Nish,Cuesta Rey,Cuesta Rey,,,CAO Mx2,Bold by Nish,Asylum PCA Exclusive,Asylum 13 Medulla Oblongata,Arturo Fuente Anejo,Ave Maria Argentum
Ezra Zion,BOLIVAR,Cult,Cult,,,CAO Nicaragua,Bolivar Cigars,Asylum Samplers,Asylum 13 Medulla Oblongata Maduro,Arturo Fuente Candela,Ave Maria Immaculata
El Bigote,Bolivar,Cumpay,Cumpay,,,CAO Rare Select,Bolivar Cofradia,Asylum Schizo,Asylum 13 Ogre,Arturo Fuente Casa Cuba,Avo
Blue Mountain,Bolivar,Curivari,Curivari,,,CAO Session,Bolivar Cofradia Lost and Found,Atabey,Asylum Insidious,Arturo Fuente Casa Fuente,Avo Classic
Don Lucas,Bolivar,Cusano,Cusano,,,cao zocalo ,Boneshaker,Atlantic Cigar,Asylum Insidious Habano,Arturo Fuente Destino al Siglo,Avo Domaine
3 Reynas,Boneshaker,DAMN GOOD,DAMN GOOD,,,Caobanero,Boneshaker Boneyard,Avanti,Asylum Insidious Maduro,Arturo Fuente Don Carlos,Avo Heritage
Las Vegas,Boveda,Daniel Marshall,,,,captain black ,Boneshaker Cigars,AVO Classic,Asylum Nyctophilia,Arturo Fuente Especiales,Avo Limited Editions
Juan y Ramon,BRICK HOUSE,Dapper Cigar Co,Dapper Cigar Co,same,,carbon copy ,Boneshaker Full Body Cast,AVO Domaine,Asylum Straight Jacket,Arturo Fuente Fuente Opus X,Avo Maduro
RoMa Craft Tobac,Brick House,Dapper Cigar Co.,Dapper Cigar Co.,same,,carbon copy c ,Boneshaker Tombstone,AVO Heritage,Avanti,Arturo Fuente Fuente Opus X 20th Anniversary,Avo Syncro Caribe
Monte Albar,Brick House,DAVID ORTIZ,DAVID ORTIZ,,,DAMN GOOD,Brick House,AVO Limited Edition,Avanti Ramrod,Arturo Fuente Fuente Opus X Forbidden X TAA,Avo Syncro Nicaragua
La Flor Dominicana,Brick House,DAVIDOFF,DAVIDOFF,,,DAVIDOFF,Camacho Ecuador,AVO Maduro 30 Years,Ave Maria,Arturo Fuente Hemingway Maduro,Avo Syncro Nicaragua Fogata
Nicahabana,Brioso,DE NOBILI,DE NOBILI,,,Davidoff 702 Aniversario Series,Camacho Factory Unleashed,AVO Regional Editions,Ave Maria Cigars,Arturo Fuente Hemingway Natural,Avo Syncro South America Ritmo
Los Patriotas,BUFFALO TRACE,Deadwood,Deadwood,,,Davidoff Aniversario,Camacho Liberty Series 2018,AVO Samplers,Ave Maria Argentum,Arturo Fuente Hemingway Sungrown,Avo XO
Curivari,Bugatti,Debonaire,Debonaire,,,Davidoff Dominicana,Camacho Liberty Series 2019,AVO Signature 30 Years LE,Ave Maria Dark Knight,Arturo Fuente Maduro,Azucar by Espinosa
Savinelli,BUTERA,Debonaire House,,,,Davidoff Escurio,Camacho Liberty Series 2021,AVO Syncro Caribe,Ave Maria Divinia,Arturo Fuente Magnum R,Baccarat
Encanto,Butera Royal Vintage,DECISION BROADLEAF,DECISION BROADLEAF,,,Davidoff Grand Cru Series,Camacho Nicaragua,AVO Syncro Nicaragua Fogata,Ave Maria Holy Grail,Arturo Fuente Rare Pink,Baccarat
The Leaf Habano,Byron,Despot,Despot,,,Davidoff Millennium Blend Series,Camacho Nicaraguan Barrel-Aged,AVO Syncro Nicaragua Series,Ave Maria Immaculata,Arturo Fuente Sun Grown,Baccarat Nicaragua
Man,Cabanas,DIAMOND CROWN,DIAMOND CROWN,,,Davidoff Nicaragua Series,Camacho Scorpion,AVO Syncro South America RITMO,Ave Maria Lionheart,Arturo Fuente Unnamed Reserve,Backwoods
Phillies,Cachitos,DIESEL,DIESEL,,,Davidoff Royal Release,Camacho Scorpion Fumas,AVO Unexpected Series,Ave Maria Reconquista,Ashton,Baka By Roma Craft
Miura,CAIN,Dissident,Dissident,,,Davidoff Royal Release,Camacho Scorpion Sweet Tip,AVO XO,AVO Cigars,Ashton,Bangarang
Alpha Cigar Co.,Cain,DJARUM,DJARUM,,,Davidoff Signature Series,Camacho Triple Maduro,Baccarat Havana Selection,AVO Classic,Ashton Cabinet,Baptiste Connecticut
Graycliff,CALDERILLA,Djarum Black Classic,,,,Davidoff Winston Churchill,CAO 60,Black Label Trading Co. Deliverance Porcelain,AVO Domaine,Ashton Connecticut,Bass Reeves
Victor Sinclair,CALDWELL,Djarum Filtered,,,,Davidoff Winston Churchill Late Hour,CAO Amazon Basin,Black Label Trading Co. Last Rites,AVO Heritage,Ashton ESG,Bayamo
El Jefe (Cigars Cartel of America),Caldwell,Dominican Overruns,Dominican Overruns,,,Davidoff Yamasa Series,CAO Arcana,Black Label Trading Co. Lawless,AVO Syncro Caribe,Ashton Heritage Puro Sol,Bellas Artes
Sancho Panza,Caldwell,DON DIEGO,DON DIEGO,,,DE NOBILI,CAO Bones,Black Label Trading Co. Limited Edition,AVO Syncro Nicaragua,Ashton Maduro,Bellas Artes Maduro
262,Caldwell,Don Julio,Don Julio,,,Deadwood,CAO Brazilia,Black Label Trading Co. Royalty,AVO Syncro Nicaragua Fogata,Ashton Symmetry,Best Of Cigar Samplers
La Rosa Especial,Caldwell,DON LINO,DON LINO,,,DECISION BROADLEAF,CAO Cameroon,Black Label Trading Co. Salvation,AVO Syncro South America Ritmo,Ashton VSG,Big Papi By David Ortiz
T&P (Guatemala),Caldwell,DON MANUEL,DON MANUEL,,,DIAMOND CROWN,CAO Cigars,Black Works Studio,AVO XO,Asylum,Bigfoot
Old Henry,CALDWELL LOST & FOUND,Don Mateo,Don Mateo,,,Diamond Crown Humidors,CAO Colombia,Black Works Studio Limited Edition,Baccarat,Asylum 13,Black & Mild By Middleton
Rigoletto,CAMACHO,DON PEPIN,DON PEPIN,same,,Diamond Crown Julius Caeser,CAO Consigliere,Bombay Tobak M.Esteli,Baccarat Cigars,Asylum 13 Connecticut,Black Belt Buckle By Crowned Heads
La Estrella Cubana,Camacho,Don Pepin Garcia,Don Pepin Garcia,same,,Diamond Crown Maximus,CAO Flathead,Bona Vita Dolce (Sweets),Baccarat Candela,Asylum 13 Corojo,Black Dahlia
Phatash,Camacho,Don Rafael,Don Rafael,,,Diamond Crown Original,CAO Flathead Steel Horse,Bona Vita Maduro,Baccarat Nicaragua,Asylum 13 Medulla Oblongata,Black Label Trading
Boardwalk,Camacho,Don Tomas,Don Tomas,,,Diamond Crown Original,CAO Flavours,Bona Vita Natural,Backwoods Cigars,Asylum 13 Medulla Oblongata Maduro,Black Label Trading Deliverance
Hoyo de Monterrey,Camacho,Drew Estate,Drew Estate,,,Dias de Gloria,CAO Gold,Boveda,Bahia Cigars,Asylum 13 Ogre,Black Label Trading Last Rites
Westminster,Camacho,Drunk Chicken,Drunk Chicken,,,DIESEL,CAO Gold Maduro,Brick House,Bahia Blu,Asylum 13 Pandemonium,Black Label Trading Lawless
Baldwin,Campesino,Dunbarton Tobacco,Dunbarton Tobacco,same,,Diesel Whiskey Row,CAO Heritage Reserve,Brick House Double Connecticut,Bahia Brazil,Asylum Arkham,Black Label Trading Memento Mori
Aray & Sons,CAO,Dunbarton Tobacco & Trust,Dunbarton Tobacco & Trust,same,,DJARUM,CAO Italia,Bugatti,Bahia Cafe,Asylum Eight Limited Edition,Black Label Trading Royalty
King Dominican,CAO,Dunbarton Tobacco and Trust,Dunbarton Tobacco and Trust,same,,Djarum Vintage,CAO Maduro,Butera Vintage,Bahia Maduro,Asylum Insidious Connecticut,Black Label Trading Salvation
El Primer Mundo,CAO,Dutch Delites,Dutch Delites,,,DON DIEGO,CAO MX2,Byron 19th Century,Bahia Trinidad,Asylum Insidious Maduro,Black Works Studio Killer Bee
Gramercy,CAO,Dutch Masters,Dutch Masters,,,DON LINO,CAO Nicaragua,Byron 20th Century,Balmoral Anejo XO,Asylum Nine Limited Edition,Black Works Studio NBK
Rancho Real,CAO,E.P. Carrillo,E.P. Carrillo,,,DON MANUEL,CAO Pilon,Byron 21st Century,Balmoral Anejo XO Connecticut,Asylum PCA Exclusive,Black Works Studio Rorschach
Prime Time,CAO,Easy Eddie's,Easy Eddie's,,,DON PEPIN,CAO Session,Cabaiguan,Balmoral Anejo XO Nicaragua,Asylum Premium,Blackstone by Swisher
Cubanidad,Captain Black,Edgar Hoill,Edgar Hoill,,,don pepin garcia black ,Caobanero by MJ Frias,Cafe Creme,Balmoral Anejo XO Oscuro,Asylum Schizo,Blind Man's Bluff
Pedro Martin,Carlos Torano,Edgar Julian,Edgar Julian,,,Don Pepin Garcia Blue Label,Capa de Sol by E.P. Carrillo,Cain,Balmoral Serie Signaturas Dueto,Asylum Schizo Maduro,Blind Man's Bluff Connecticut
Santa Rosa,Casa 1910,Edition One Cloud Hopper,,,,Don Pepin Garcia Series JJ,Captain Black Little Cigars,Cain Daytona,Bandidos,Asylum Seven Limited Edition,Blind Man's Bluff Maduro
Ventura Cigar,Casa Antero,Eiroa,Eiroa,,,Don Pepin Garcia Tobacos Baez,Casa Antero,Cain Nub,Big Brand Seconds Cigarillos,Asylum Straight Jacket,Blind Man's Bluff Nicaragua
Don Pepin Garcia (My Father Cigars),Casa Blanca,EL ARTISTA,EL ARTISTA,,,Don Pepin My Father Le Bijou 1922,Casa Blanca,Caldwell Anastasia,Big Johnny by Island Jim,Atabey,Bolivar
Flor de Dios,Casa Cuevas,EL BATON,EL BATON,,,Don Tomas Clasico,Casa Blanca Cigars,Caldwell Blind Man's Bluff Connecticut,Black & Mild,Atabey,Bolivar
Santiago Cigar Factory,Casa Cuevas,EL CAMINO DOMINICANO,EL CAMINO DOMINICANO,,,Don Tomas Special Edition Corojo,Casa Blanca Nicaragua,Caldwell Blind Man's Bluff Habano,Black Label Trading Co. Last Rites,AVO,Bolivar Cofradia
Eden,Casa Cuevas,EL COBRE,EL COBRE,,,drew estate ,Casa Blanca Reserve,Caldwell Blind Man's Bluff Limited Edition,Black Label Trading Co. Lawless,AVO Classic,Bolivar Cofradia By Lost & Found
Nativo,Casa de Garcia,EL COTO,EL COTO,,,dunbarton tobacco and trust saka ,Casa Cuevas Cigars,Caldwell Blind Man's Bluff Maduro,Black Label Trading Co. Porcelain,AVO Classic Maduro,Braniff
La Mezcla Cubana,Casa de Garcia,El Credito,El Credito,,,dunhill signed range ,Casa Cuevas Connecticut,Caldwell Blind Man's Bluff Nicaragua,Black Label Trading Co. Royalty,AVO Domaine,Brick House
La Luna,Casa de Puros,El Galan,El Galan,,,dutch masters ,Cohiba Cigars,Caldwell Eastern Standard,Black Label Trading Co. Salvation,AVO Heritage,Brick House Connecticut
Don Alberto,Casa de Sueños,EL GUEGUENSE,,,,EL ARTISTA,Cohiba Connecticut,Caldwell Eastern Standard Sungrown,Black Works Studio Green Hornet,AVO Improvisation,Buena Cosecha Corojo
La Eminencia,Casa del Tabaco,EL RELOJ,EL RELOJ,,,EL BATON,Cohiba Dominican,Caldwell Long Live The King,Black Works Studio Killer Bee,Avo Maduro 30 Years,Bundles By Espinosa
President's Private Stock,Casa Magna,EL REY DEL MUNDO,EL REY DEL MUNDO,,,EL CAMINO DOMINICANO,Cohiba Macassar,Caldwell Long Live The King By AJF,Blackstone Cigars,AVO Regional,Buyer's Guide Samplers
La Liga,Casa Magna,EL RICO,EL RICO,,,El Centurion,Cohiba Nicaragua,Caldwell Long Live The King Maduro,Blood Red Moon,AVO Signature 30 Years,Cabaiguan
Palma Real,Casa Magna,El Rico Habano,,,,EL COBRE,Cohiba Red Dot,Caldwell Lost & Found,Blue Label B2 Cuban Wheels,AVO Syncro Caribe,Cabarete
Tosa,Casa Turrent,El Viejo Continente,El Viejo Continente,,,EL COTO,Cohiba Royale,Caldwell Lost & Found Cigar Dojo,Bold by Nish Patel Robusto,AVO Syncro Nicaragua,Cain Accessories And Samplers
Primeros,Casa Turrent Serie 1901,ELENOR ROSE,ELENOR ROSE,,,El Criollito,Cojimar Cigars,Caldwell Midnight Express,Bolivar,Avo Syncro Nicaragua Fogata,Caldwell
Casa Bella (Sindicato Cigars),CasaMontez Sun Grown,Emilio,Emilio,,,EL GUEGUENSE,Consuegra,Caldwell Savages,Bolivar Cofradia,AVO Syncro South America Ritmo,Caldwell Lost & Found
Don Bienve,Casdagli,Emperors Cut,Emperors Cut,,,EL RELOJ,Cornelius & Anthony Cigars,Caldwell The King Is Dead,Brazilian Cream,AVO Unexpected,Call To Arms
Maria Mancini,Casdagli,EP CARRILLO,EP CARRILLO,variations with E.P.,,EL RELOJ,Cornelius & Anthony Cornelius,Caldwell The King Is Dead By AJF,Brick House,AVO XO,Camacho
Industrial Press,Case Study,Epic,Epic,,,EL REY DEL MUNDO,Cornelius & Anthony Daddy Mac,Caldwell The King Is Dead Escape Plan,Brick House Connecticut,Baccarat,Camacho American Barrel Aged
Tobacco Haven,Case Study,EPIC CIGARS,,,,EL RICO,Cornelius & Anthony Senor Esugars,Caldwell The Last Tsar,Brick House Fumas,Baccarat The Game,Camacho BXP Connecticut
Jose Carlos,Cavalier,ESPINOSA,ESPINOSA,,,ELENOR ROSE,Cornelius & Anthony The Gent,Calibre of Geneve,Brick House Fumas Connecticut,Baccarat The Game Maduro,Camacho BXP Corojo
Caiman,Cavalier Geneve,Esteban Carreras,Esteban Carreras,,,Enclave by A.J. Fernandez,Davidoff 702 Series,Camacho American Barrel-Aged,Brick House Fumas Maduro,Back2Back,Camacho BXP Ecuador
Cuban Classics,Cavalier Geneve,EXACTUS,EXACTUS,,,EP CARRILLO,Davidoff Aniversario Series,Camacho Brotherhood Series,Brick House Maduro,Back2Back URNY Connecticut,Camacho Connecticut
Island Cigar Factory,CC,EXCALIBUR,EXCALIBUR,,,EP Carrillo New Wave Connecticut,Davidoff Cigar Assortments,Camacho Connecticut,Brioso Bundles,Back2Back URNY LE 2019,Camacho Corojo
Morgan Alexander (by Perdomo),Cedar Room,Fable,Fable,,,EP Carrillo New Wave Reserva,Davidoff Cigarillos and Small Cigars,Camacho Connecticut BXP,Brocatus,Back2Back URNY Nicaragua,Camacho Criollo
Emilio,Cheyenne,Fable Fourth Prime,,,,EP Carrillo Seleccion Oscuro,Davidoff Cigars,Camacho Corojo BXP,Brocatus Anejo,Balmoral,Camacho Ecuador
Bow Tie,Chillin' Moose,Factory Smokes,Factory Smokes,,,EPIC CIGARS,Davidoff Colorado Claro,Camacho Corojo Natural,Buffalo TEN,Balmoral Anejo XO,Camacho Liberty
Helix,Chogui,FACTORY THROWOUTS,FACTORY THROWOUTS,,,Epic Corojo,Davidoff Dominicana,Camacho Diploma,Buffalo Trace Cigars,Balmoral Anejo XO Connecticut,Camacho Nicaragua
Jameson,Cibao,Farm To Factory,,,,Epic Habano,Davidoff Escurio,Camacho Distillery Edition,Bugatti Cigars,Balmoral Anejo XO Nicaragua,Camacho Nicaraguan Barrel-Aged
Bauza,CLE,Felipe Gregorio,Felipe Gregorio,,,Epic La Rubia,Davidoff Grand Cru Series,Camacho Ecuador,Bugatti Potere,Balmoral Anejo XO Oscuro,Camacho Scorpion
Padilla,CLE,FERIO TEGO,FERIO TEGO,,,Epic Maduro,Davidoff JR 50th Anniversary,Camacho Ecuador BXP,Bugatti Scuro,Balmoral Serie Signaturas Dueto,Camacho Scorpion Fumas
Sunrise Reserve,CLE,Fernando Leon Family,Fernando Leon Family,,,Epic Maduro,Davidoff Maduro Series,Camacho Factory Unleashed,Cabaiguan by Tatuaje,Balmoral Serie Signaturas Paso Doble,Camacho Scorpion Sweet Tip
Drew Estate,CLE,Five Star,Five Star,,,Espada by Montecristo,Davidoff Millennium Blend Series,Camacho Imperial Stout Barrel Aged,Cabaiguan Guapos by Tatuaje,Blackbird,Camacho Triple Maduro
Sonador (Thompson),CLE Chaparros,Flashback,Flashback,,,Espada Oscuro by Montecristo,Davidoff Nicaragua Box Pressed,Camacho LegendArio,Cafe Creme Henri Wintermans,Blackbird Crow,CAO
Flor de Farach,Cohiba,Flor de A. Allones,Flor de A. Allones,,,Espanola Premium,Davidoff Nicaragua Series,Camacho Liberty,Cain by Oliva,Blackbird Cuco,CAO 60
Balmoral,Cohiba,Flor de Gonzalez,Flor de Gonzalez,,,ESPINOSA,Davidoff Signature Series,Camacho Nicaragua,Cain Daytona by Oliva,Blackbird Finch,CAO Accessories And Samplers
Viaje,Cohiba,FLOR DE LAS ANTILLAS,FLOR DE LAS ANTILLAS,,,Espinosa Crema,Davidoff Special Series,Camacho Nicaraguan Barrel-Aged,Cain F Nub by Oliva,Blackbird Hawk Cigar Culture,CAO America
Don Casimiro Collection,Cohiba,Flor de Oliva,Flor de Oliva,,,Espinosa Habano,Davidoff The Chef's Edition,Camacho Samplers,Cain Nub by Oliva,Blackbird Jackdaw,CAO Arcana
Carnero,Cohiba,Flor de Selva,Flor de Selva,,,Espinosa Laranja Reserva,Davidoff Winston Churchill,Camacho Scorpion Connecticut,Caldwell Cigars,Blackbird Limited Edition Macaw,CAO Bones
Sacra Folium Cigar Co.,Cojimar,Flor Y Nata,Flor Y Nata,,,Espinosa Laranja Reserva Azulejo,Davidoff Winston Churchill The Late Hour,Camacho Scorpion Fumas,Caldwell Blind Man's Bluff,Blackbird Rook,CAO Brazilia
Alvaro,Consuegra,Florida Sun Grown by Drew Estate,,,,Espinosa Rare Species,Davidoff Yamasa,Camacho Scorpion Sun Grown,Caldwell Blind Man's Bluff Connecticut,Blackbird Unkind,CAO Cameroon
Mombacho,Cornelius & Anthony,Fonseca,Fonseca,,,EXACTUS,Davidoff Year of The Tiger,Camacho Triple Maduro Bold,Caldwell Blind Man's Bluff Maduro,Blanco,CAO Colombia
Signature House Blend,Cornelius & Anthony,Forged Cigar Company,Forged,,,EXCALIBUR,De Nobili,CAO 60 Torque,Caldwell Blind Man's Bluff Nicaragua,Blanco Liga Exclusiva de Familia Maduro,CAO Consigliere
Bering,Crafted By,FORTY CREEK,FORTY CREEK,,,Excalibur Black,Deadwood Tobacco Co.,CAO Amazon Basin,Caldwell Collection - E.S. Midnight Express,Blanco Liga Exclusiva de Familia Natural,CAO CX2
Macabi,Crowned Heads,Foundation,Foundation,same,,Factory Smokes,Debonaire Daybreak,CAO America,Caldwell Collection - Eastern Standard,Blanco Nine,CAO Flathead
La Regenta,Crowned Heads,Foundation Cigar,Foundation Cigar,same,,FACTORY THROWOUTS,Debonaire Habano,CAO Arcana,Caldwell Collection - Long Live The King,Cigar Obsession 1st Third,CAO Flathead Steel Horse
Dominican Elites,Crowned Heads,Foundation Cigar Company,Foundation Cigar Company,same,,Fausto by Tatuaje,Debonaire House Cigars,CAO Bones,Caldwell Collection - The King Is Dead,Cigar Obsession 2nd Third,CAO Flavours
H. Upmann,Crowned Heads,Foundation Highclere Castle,,,,FERIO TEGO,Debonaire Maduro,CAO Brazilia,Caldwell Eastern Standard Habano,Cigar Obsession Final Third,CAO Gold
Puros Reynoso,Crowned Heads,Foundry,Foundry,,,FIREBIRD BY COLIBRI,Derringer Filtered Cigars,CAO Cameroon,Caldwell Long Live the King Mad MoFo,Bolivar,CAO Gold Maduro
Mike's Cigars,Crux,FQ,FQ,,,FLOR DE LAS ANTILLAS,Diamond Crown,CAO Colombia,Caldwell Lost & Found One Night Stand,Bolivar Cofradia,CAO Italia
Beehive Cigars,Crux,FRATELLO,FRATELLO,,,Florida Sun Grown,Diamond Crown Black Diamond,CAO Consigliere,Caldwell Lost & Found Pepper Cream Soda,Brick House,CAO LX2
Warped,Cuba Libre,GARCIA Y VEGA,GARCIA Y VEGA,,,FORTY CREEK,Diamond Crown Cigars,CAO Flathead,Caldwell Lost and Found Sampler,Brick House Ciento Por Ciento,CAO Maduro
Playboy by Don Diego,Cuban Aristocrat,Genuine Counterfeit Cuban,,,,Four Kicks,Diamond Crown Julius Caeser,CAO Flathead Steel Horse,Caldwell The Last Tsar,Brick House Classic,CAO MX2
Sancho Panza (Cuban),Cuban Aristocrat,German Engineered,,,,FRATELLO,Diamond Crown Maximus,CAO Flathead V19,Caldwell's Lost and Found - Land O' Snakes Maduro,Brick House Double Connecticut,CAO Nicaragua
Fiero,Cuban Cigar Factory,Gift Card,,,,FRATELLO,Diesel Cigars,CAO Flathead V21,Camacho American Barrel Aged,Brick House Maduro,CAO OSA Sol
Don Leon,Cuban Rounds,GISPERT,GISPERT,,,Fratello Bianco,Diesel Esteli Puro,CAO Flavours,Camacho Cigars,Cachitos,CAO Pilon
God of Fire,Cuban Twist,GOD OF FIRE,GOD OF FIRE,,,Fratello Camo,Diesel Fool's Errand,CAO Flavours Bella Vanilla,Camacho Connecticut,Cachitos,CAO Signature Series
Copa Havana,Cuesta Rey,GOOD TIMES,GOOD TIMES,,,Fratello Classico,Diesel Hair of The Dog,CAO Flavours Cherrybomb,Camacho Corojo,Cain,CAO Zocalo
Room 101,Cuesta Rey,GR SPECIALS,,,,Fratello Oro,Diesel Whiskey Row,CAO Flavours Eileens Dream,Camacho Coyolar,Cain Daytona,Captain Black Little Cigars
Don Yeyo,Cult,GRAN CANTIDAD,GRAN CANTIDAD,,,FSG 20 Acre Farm by Drew Estate,Diesel Whiskey Row Sherry Cask,CAO Flavours Gold Honey,Camacho Criollo,Cain F,Caribbean Royales
Nafilyan,Cumpay,GRAN HABANO,GRAN HABANO,,,Game by Garcia Y Vega,Djarum Black Classic,CAO Flavours Moontrance,Camacho Ecuador,Cain Habano,Caridad By Rocky Patel
Payne-Mason,Curivari,GRAND MARNIER,GRAND MARNIER,,,Game Leaf by Garcia y Vega,Djarum Filtered Cigars,CAO Gold Label,Camacho Factory Unleashed,Cain Maduro,Carlos Torano Signature
Trinidad,Cusano,Graycliff,Graycliff,,,GARCIA Y VEGA,Dominican Overruns,CAO Italia,Camacho Machitos,Caldwell,Casa Fernandez Miami
Cardenas,Cusano,GREAT CIGARS,,,,GIFT CERTIFICATES,Don Carlos Edicion de Aniversario,CAO Maduro,Camacho Nicaragua,Caldwell Blind Mans Bluff Connecticut,Casa Fernandez Miami Aganorsa
Jas Sum Kral,Cusano,GRIFFINS,GRIFFINS,,,Gilberto Oliva,Don Diego,CAO Mx2,Camacho Nicaraguan Barrel-Aged,Caldwell Blind Mans Bluff Habano,Casa Fernandez Miami Arsenio Oro
Cremosa Cubana,DAMN GOOD,Guaimaro,Guaimaro,,,GISPERT,Don Lino,CAO Nicaragua,Camacho Scorpion Connecticut,Caldwell Blind Mans Bluff Maduro,Casa Fernandez Miami Reserva
DAV Cigars,Daniel Marshall,Guardian of the Farm,Guardian of the Farm,,,Gispert Grand Exhibition,Don Lino Africa,CAO Pilon,Camacho Scorpion Fumas Connecticut,Caldwell Blind Mans Bluff Nicaragua,Casa Fernandez New Cuba
Cojimar,Dapper Cigar Co,GURKHA,GURKHA,,,GOD OF FIRE,Don Lino Cigars,CAO Samplers,Camacho Scorpion Fumas Sun Grown,Caldwell Eastern Standard,Casa Fernandez New Cuba Connecticut
Cigar King,Dapper Cigar Co.,H. UPMANN,H. UPMANN,,,GOLF,Don Lino Connecticut,CAO Session,Camacho Scorpion Sun Grown,Caldwell Eastern Standard Sungrown,Casa Fernandez New Cuba Maduro
Latin Gold,DAVID ORTIZ,Hambones,Hambones,,,GOOD TIMES,Don Lino Maduro,CAO Vision,Camacho Scorpion Sweet Tip,Caldwell Long Live The King,Casa Turrent 1880 Claro
Nestor Miranda,DAVIDOFF,HAMILTON HOUSE,HAMILTON HOUSE,,,GOOD TIMES,Don Mateo,CAO Zocalo,Camacho Triple Maduro,Caldwell Savages,Casa Turrent 1880 Colorado
Cuba Caiman,Davidoff,HARVESTER,HARVESTER,same,,Good Times HD,Don Pepin Garcia Blue,Casa Cuba by Fuente,CAO Cigars,Caldwell The King is Dead,Casa Turrent 1880 Maduro
Garcia y Vega,Davidoff,Harvester & Co.,Harvester & Co.,same,,GR SPECIALS,Don Pepin Garcia Cigars,Casa Fernandez Arsenio,CAO America,Caldwell The King is Dead by AJ Fernandez,Casa Turrent 1880 Oscuro
Thompson,Davidoff,HAV A TAMPA,HAV A TAMPA,,,GR SPECIALS,Don Pepin Garcia Clasicos Black Edition,Casa Fernandez Arsenio Oro,CAO Black,Camacho,Casa Turrent Origins
La Jugada (Formerly Flor de Esteli),Davidoff,Hav-A-Tampa Jewels,Hav-A-Tampa Jewels,,,GRAN CANTIDAD,Don Pepin Garcia Series JJ,Casa Fernandez Buena Cosecha Corojo,CAO Bones,Camacho American Barrel-Aged,Casa Turrent Serie 1901
JW,Davidoff,HAVANA HONEYS,HAVANA HONEYS,,,GRAN HABANO,Don Tomas Cameroon Collection,Casa Fernandez Guardian of the Farm,CAO Brazilia,Camacho Brotherhood Series,Casa Turrent Serie 1942
La Cava Del Puro,DE NOBILI,HAVANA Q,HAVANA Q,,,Gran Habano #1 Connecticut,Don Tomas Cigars,Casa Fernandez Guardian of the Farm Cerberus,CAO Colombia,Camacho Connecticut,Casa Turrent Serie 1973
Chateau Real By Drew Estate,De Nobili,HB BUNDLES,,,,Gran Habano #3 Habano,E.P. Carrillo Cardinal Impact,Casa Fernandez Guardian of the Farm Night Watch,CAO Consigliere,Camacho Connecticut BXP,Case Study
